id,name,level,parent_id,parent_name
1,"Women",0,,""
2,"Men",0,,""
3,"Kids",0,,""
4,"Home",0,,""
5,"Vintage & collectibles",0,,""
6,"Beauty",0,,""
7,"Electronics",0,,""
8,"Sports & outdoors",0,,""
9,"Handmade",0,,""
10,"Other",0,,""
11,"Dresses",1,1,"Women"
12,"Tops & blouses",1,1,"Women"
13,"Sweaters",1,1,"Women"
14,"Jeans",1,1,"Women"
15,"Pants",1,1,"Women"
16,"Skirts",1,1,"Women"
17,"Coats & jackets",1,1,"Women"
18,"Suits & blazers",1,1,"Women"
19,"Athletic apparel",1,1,"Women"
20,"Swimwear",1,1,"Women"
21,"Women's handbags",1,1,"Women"
22,"Women's accessories",1,1,"Women"
23,"Jewelry",1,1,"Women"
24,"Maternity",1,1,"Women"
25,"Shoes",1,1,"Women"
26,"Other",1,1,"Women"
27,"Tops",1,2,"Men"
28,"Sweats & hoodies",1,2,"Men"
29,"Sweaters",1,2,"Men"
30,"Jeans",1,2,"Men"
31,"Pants",1,2,"Men"
32,"Shorts",1,2,"Men"
33,"Coats & jackets",1,2,"Men"
34,"Blazers & sport coats",1,2,"Men"
35,"Suits",1,2,"Men"
36,"Athletic apparel",1,2,"Men"
37,"Swimwear",1,2,"Men"
38,"Men's accessories",1,2,"Men"
39,"Shoes",1,2,"Men"
40,"Other",1,2,"Men"
48,"Bathing & skin care",1,3,"Kids"
49,"Car seats & accessories",1,3,"Kids"
50,"Diapering",1,3,"Kids"
51,"Feeding",1,3,"Kids"
52,"Gear",1,3,"Kids"
53,"Health & baby care",1,3,"Kids"
54,"Nursery",1,3,"Kids"
55,"Potty training",1,3,"Kids"
56,"Pregnancy & maternity",1,3,"Kids"
57,"Safety",1,3,"Kids"
58,"Strollers",1,3,"Kids"
59,"Other",1,3,"Kids"
60,"Kids' home store",1,4,"Home"
61,"Kitchen & dining",1,4,"Home"
62,"Bedding",1,4,"Home"
63,"Bath",1,4,"Home"
64,"Furniture",1,4,"Home"
65,"Home decor",1,4,"Home"
66,"Artwork",1,4,"Home"
67,"Seasonal decor",1,4,"Home"
68,"Home appliances",1,4,"Home"
69,"Storage & organization",1,4,"Home"
70,"Cleaning supplies",1,4,"Home"
71,"Other",1,4,"Home"
72,"Team sports",1,8,"Sports & outdoors"
73,"Exercise",1,8,"Sports & outdoors"
74,"Footwear",1,8,"Sports & outdoors"
75,"Apparel",1,8,"Sports & outdoors"
76,"Golf",1,8,"Sports & outdoors"
77,"Outdoors",1,8,"Sports & outdoors"
78,"Fan shop",1,8,"Sports & outdoors"
79,"Other",1,8,"Sports & outdoors"
80,"Cameras & photography",1,7,"Electronics"
81,"Computers & Laptops",1,7,"Electronics"
82,"Cell phones & accessories",1,7,"Electronics"
83,"TV & Video",1,7,"Electronics"
84,"Video games & consoles",1,7,"Electronics"
85,"Car audio, video & gps",1,7,"Electronics"
86,"Media",1,7,"Electronics"
87,"Other",1,7,"Electronics"
88,"Bath & body",1,6,"Beauty"
89,"Fragrance",1,6,"Beauty"
90,"Hair care",1,6,"Beauty"
91,"Makeup",1,6,"Beauty"
92,"Skin care",1,6,"Beauty"
93,"Tools & accessories",1,6,"Beauty"
94,"Other",1,6,"Beauty"
95,"Jewelry",1,5,"Vintage & collectibles"
96,"Clothing",1,5,"Vintage & collectibles"
